denoise_threshold,denoise_method,median_kernel,gaussian_kernel,clahe_trigger,clahe_cliplimit,clahe_tile,binarize_median,binarize_blocksize,binarize_c,binarize_method,line_ratio_thresh,line_removal,line_dilation,line_dilation_iter,avg_cer,avg_wer
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.001,"(10, 50)","(3, 3)",1,8.7861,23.0867
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.001,"(10, 50)","(3, 3)",2,8.3633,22.8056
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.001,"(10, 50)","(5, 5)",1,8.3633,22.8056
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.001,"(10, 50)","(5, 5)",2,8.745,24.4578
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.003,"(10, 40)","(2, 2)",1,14.6733,41.4428
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.003,"(10, 40)","(2, 2)",2,14.3317,40.9044
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.003,"(10, 40)","(3, 3)",1,9.0711,24.1567
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.003,"(10, 40)","(3, 3)",2,8.1728,22.2811
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.003,"(10, 40)","(5, 5)",1,8.1728,22.2811
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.003,"(10, 40)","(5, 5)",2,8.6339,23.7522
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.003,"(10, 50)","(2, 2)",1,14.1272,40.5939
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.003,"(10, 50)","(2, 2)",2,13.6122,38.8622
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.003,"(10, 50)","(3, 3)",1,8.7717,23.0533
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.003,"(10, 50)","(3, 3)",2,8.335,22.7394
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.003,"(10, 50)","(5, 5)",1,8.335,22.7394
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.003,"(10, 50)","(5, 5)",2,8.7211,24.3256
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.005,"(10, 40)","(2, 2)",1,14.6311,41.2567
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.005,"(10, 40)","(2, 2)",2,14.3022,40.7239
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.005,"(10, 40)","(3, 3)",1,9.0483,24.1022
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.005,"(10, 40)","(3, 3)",2,8.0856,22.1539
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.005,"(10, 40)","(5, 5)",1,8.0856,22.1539
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.005,"(10, 40)","(5, 5)",2,8.5317,23.44
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.005,"(10, 50)","(2, 2)",1,14.1194,40.5678
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.005,"(10, 50)","(2, 2)",2,13.5183,38.6089
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.005,"(10, 50)","(3, 3)",1,8.7456,23.0011
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.005,"(10, 50)","(3, 3)",2,8.2217,22.4839
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.005,"(10, 50)","(5, 5)",1,8.2217,22.4839
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,gaussian_c,0.005,"(10, 50)","(5, 5)",2,8.5928,23.9628
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.001,"(10, 40)","(2, 2)",1,15.1517,42.8567
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.001,"(10, 40)","(2, 2)",2,15.3022,43.8544
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.001,"(10, 40)","(3, 3)",1,8.9617,24.7817
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.001,"(10, 40)","(3, 3)",2,9.3061,25.9278
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.001,"(10, 40)","(5, 5)",1,9.3061,25.9278
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.001,"(10, 40)","(5, 5)",2,9.0361,25.2228
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.001,"(10, 50)","(2, 2)",1,15.9811,43.825
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.001,"(10, 50)","(2, 2)",2,15.2844,42.1094
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.001,"(10, 50)","(3, 3)",1,9.6189,25.3872
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.001,"(10, 50)","(3, 3)",2,9.4311,25.22
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.001,"(10, 50)","(5, 5)",1,9.4311,25.22
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.001,"(10, 50)","(5, 5)",2,10.0917,27.05
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.003,"(10, 40)","(2, 2)",1,15.1517,42.8567
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.003,"(10, 40)","(2, 2)",2,15.3022,43.8544
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.003,"(10, 40)","(3, 3)",1,8.9617,24.7817
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.003,"(10, 40)","(3, 3)",2,9.3061,25.9278
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.003,"(10, 40)","(5, 5)",1,9.3061,25.9278
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.003,"(10, 40)","(5, 5)",2,9.0222,25.1239
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.003,"(10, 50)","(2, 2)",1,15.9528,43.6928
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.003,"(10, 50)","(2, 2)",2,15.2578,42.0256
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.003,"(10, 50)","(3, 3)",1,9.5906,25.255
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.003,"(10, 50)","(3, 3)",2,9.4094,25.0856
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.003,"(10, 50)","(5, 5)",1,9.4094,25.0856
5,median,3,"(3, 3)",30,1.5,"(4, 4)",3,31,30,mean_c,0.003,"(10, 50)","(5, 5)",2,10.0556,26.8494
